date,time,DA_price
0,2024-01-01 00:00:00+01:00,0.1
1,2024-01-01 01:00:00+01:00,0.01
2,2024-01-01 02:00:00+01:00,0.0
3,2024-01-01 03:00:00+01:00,-0.01
4,2024-01-01 04:00:00+01:00,-0.03
5,2024-01-01 05:00:00+01:00,-0.02
6,2024-01-01 06:00:00+01:00,-0.05
7,2024-01-01 07:00:00+01:00,-0.02
8,2024-01-01 08:00:00+01:00,0.0
9,2024-01-01 09:00:00+01:00,0.04
10,2024-01-01 10:00:00+01:00,0.06
11,2024-01-01 11:00:00+01:00,0.54
12,2024-01-01 12:00:00+01:00,2.24
13,2024-01-01 13:00:00+01:00,1.97
14,2024-01-01 14:00:00+01:00,1.13
15,2024-01-01 15:00:00+01:00,3.19
16,2024-01-01 16:00:00+01:00,40.0
17,2024-01-01 17:00:00+01:00,84.46
18,2024-01-01 18:00:00+01:00,61.74
19,2024-01-01 19:00:00+01:00,61.27
20,2024-01-01 20:00:00+01:00,59.97
21,2024-01-01 21:00:00+01:00,54.92
22,2024-01-01 22:00:00+01:00,47.65
23,2024-01-01 23:00:00+01:00,35.55
24,2024-01-02 00:00:00+01:00,29.39
25,2024-01-02 01:00:00+01:00,19.6
26,2024-01-02 02:00:00+01:00,27.33
27,2024-01-02 03:00:00+01:00,16.2
28,2024-01-02 04:00:00+01:00,9.5
29,2024-01-02 05:00:00+01:00,11.2
30,2024-01-02 06:00:00+01:00,44.43
31,2024-01-02 07:00:00+01:00,56.56
32,2024-01-02 08:00:00+01:00,64.28
33,2024-01-02 09:00:00+01:00,66.12
34,2024-01-02 10:00:00+01:00,70.6
35,2024-01-02 11:00:00+01:00,78.8
36,2024-01-02 12:00:00+01:00,99.9
37,2024-01-02 13:00:00+01:00,102.5
38,2024-01-02 14:00:00+01:00,110.6
39,2024-01-02 15:00:00+01:00,105.7
40,2024-01-02 16:00:00+01:00,100.7
41,2024-01-02 17:00:00+01:00,118.93
42,2024-01-02 18:00:00+01:00,81.3
43,2024-01-02 19:00:00+01:00,70.1
44,2024-01-02 20:00:00+01:00,66.7
45,2024-01-02 21:00:00+01:00,54.9
46,2024-01-02 22:00:00+01:00,53.18
47,2024-01-02 23:00:00+01:00,54.9
48,2024-01-03 00:00:00+01:00,-0.39
49,2024-01-03 01:00:00+01:00,-1.61
50,2024-01-03 02:00:00+01:00,-1.39
51,2024-01-03 03:00:00+01:00,-1.31
52,2024-01-03 04:00:00+01:00,-1.39
53,2024-01-03 05:00:00+01:00,-1.95
54,2024-01-03 06:00:00+01:00,1.05
55,2024-01-03 07:00:00+01:00,40.63
56,2024-01-03 08:00:00+01:00,68.3
57,2024-01-03 09:00:00+01:00,75.9
58,2024-01-03 10:00:00+01:00,73.2
59,2024-01-03 11:00:00+01:00,69.2
60,2024-01-03 12:00:00+01:00,60.0
61,2024-01-03 13:00:00+01:00,58.86
62,2024-01-03 14:00:00+01:00,60.86
63,2024-01-03 15:00:00+01:00,76.0
64,2024-01-03 16:00:00+01:00,79.0
65,2024-01-03 17:00:00+01:00,101.0
66,2024-01-03 18:00:00+01:00,114.6
67,2024-01-03 19:00:00+01:00,100.0
68,2024-01-03 20:00:00+01:00,73.23
69,2024-01-03 21:00:00+01:00,67.41
70,2024-01-03 22:00:00+01:00,65.0
71,2024-01-03 23:00:00+01:00,58.12
72,2024-01-04 00:00:00+01:00,57.3
73,2024-01-04 01:00:00+01:00,50.46
74,2024-01-04 02:00:00+01:00,40.0
75,2024-01-04 03:00:00+01:00,25.48
76,2024-01-04 04:00:00+01:00,35.0
77,2024-01-04 05:00:00+01:00,57.73
78,2024-01-04 06:00:00+01:00,72.65
79,2024-01-04 07:00:00+01:00,85.02
80,2024-01-04 08:00:00+01:00,91.47
81,2024-01-04 09:00:00+01:00,94.2
82,2024-01-04 10:00:00+01:00,91.61
83,2024-01-04 11:00:00+01:00,90.03
84,2024-01-04 12:00:00+01:00,86.28
85,2024-01-04 13:00:00+01:00,85.96
86,2024-01-04 14:00:00+01:00,92.11
87,2024-01-04 15:00:00+01:00,98.62
88,2024-01-04 16:00:00+01:00,104.45
89,2024-01-04 17:00:00+01:00,130.21
90,2024-01-04 18:00:00+01:00,140.67
91,2024-01-04 19:00:00+01:00,123.1
92,2024-01-04 20:00:00+01:00,101.65
93,2024-01-04 21:00:00+01:00,96.77
94,2024-01-04 22:00:00+01:00,93.04
95,2024-01-04 23:00:00+01:00,88.61
96,2024-01-05 00:00:00+01:00,86.08
97,2024-01-05 01:00:00+01:00,80.51
98,2024-01-05 02:00:00+01:00,77.01
99,2024-01-05 03:00:00+01:00,72.88
100,2024-01-05 04:00:00+01:00,72.12
101,2024-01-05 05:00:00+01:00,74.52
102,2024-01-05 06:00:00+01:00,80.11
103,2024-01-05 07:00:00+01:00,87.17
104,2024-01-05 08:00:00+01:00,89.78
105,2024-01-05 09:00:00+01:00,95.0
106,2024-01-05 10:00:00+01:00,96.29
107,2024-01-05 11:00:00+01:00,98.22
108,2024-01-05 12:00:00+01:00,92.29
109,2024-01-05 13:00:00+01:00,91.65
110,2024-01-05 14:00:00+01:00,96.5
111,2024-01-05 15:00:00+01:00,100.13
112,2024-01-05 16:00:00+01:00,103.03
113,2024-01-05 17:00:00+01:00,107.43
114,2024-01-05 18:00:00+01:00,108.47
115,2024-01-05 19:00:00+01:00,104.0
116,2024-01-05 20:00:00+01:00,100.13
117,2024-01-05 21:00:00+01:00,94.21
118,2024-01-05 22:00:00+01:00,94.92
119,2024-01-05 23:00:00+01:00,86.8
120,2024-01-06 00:00:00+01:00,82.25
121,2024-01-06 01:00:00+01:00,80.2
122,2024-01-06 02:00:00+01:00,76.13
123,2024-01-06 03:00:00+01:00,73.01
124,2024-01-06 04:00:00+01:00,73.01
125,2024-01-06 05:00:00+01:00,74.59
126,2024-01-06 06:00:00+01:00,75.1
127,2024-01-06 07:00:00+01:00,81.39
128,2024-01-06 08:00:00+01:00,88.4
129,2024-01-06 09:00:00+01:00,92.23
130,2024-01-06 10:00:00+01:00,97.3
131,2024-01-06 11:00:00+01:00,100.43
132,2024-01-06 12:00:00+01:00,99.16
133,2024-01-06 13:00:00+01:00,94.52
134,2024-01-06 14:00:00+01:00,92.45
135,2024-01-06 15:00:00+01:00,94.18
136,2024-01-06 16:00:00+01:00,99.22
137,2024-01-06 17:00:00+01:00,104.69
138,2024-01-06 18:00:00+01:00,103.63
139,2024-01-06 19:00:00+01:00,99.0
140,2024-01-06 20:00:00+01:00,92.14
141,2024-01-06 21:00:00+01:00,88.0
142,2024-01-06 22:00:00+01:00,86.57
143,2024-01-06 23:00:00+01:00,79.87
144,2024-01-07 00:00:00+01:00,84.08
145,2024-01-07 01:00:00+01:00,79.82
146,2024-01-07 02:00:00+01:00,76.76
147,2024-01-07 03:00:00+01:00,73.46
148,2024-01-07 04:00:00+01:00,71.86
149,2024-01-07 05:00:00+01:00,72.08
150,2024-01-07 06:00:00+01:00,74.9
151,2024-01-07 07:00:00+01:00,77.69
152,2024-01-07 08:00:00+01:00,81.79
153,2024-01-07 09:00:00+01:00,84.86
154,2024-01-07 10:00:00+01:00,87.14
155,2024-01-07 11:00:00+01:00,89.13
156,2024-01-07 12:00:00+01:00,88.66
157,2024-01-07 13:00:00+01:00,84.81
158,2024-01-07 14:00:00+01:00,84.34
159,2024-01-07 15:00:00+01:00,88.01
160,2024-01-07 16:00:00+01:00,93.42
161,2024-01-07 17:00:00+01:00,101.77
162,2024-01-07 18:00:00+01:00,104.85
163,2024-01-07 19:00:00+01:00,103.55
164,2024-01-07 20:00:00+01:00,100.5
165,2024-01-07 21:00:00+01:00,93.31
166,2024-01-07 22:00:00+01:00,91.17
167,2024-01-07 23:00:00+01:00,83.86
168,2024-01-08 00:00:00+01:00,87.02
169,2024-01-08 01:00:00+01:00,84.35
170,2024-01-08 02:00:00+01:00,81.71
171,2024-01-08 03:00:00+01:00,79.0
172,2024-01-08 04:00:00+01:00,78.47
173,2024-01-08 05:00:00+01:00,82.1
174,2024-01-08 06:00:00+01:00,94.3
175,2024-01-08 07:00:00+01:00,111.09
176,2024-01-08 08:00:00+01:00,121.11
177,2024-01-08 09:00:00+01:00,117.83
178,2024-01-08 10:00:00+01:00,110.58
179,2024-01-08 11:00:00+01:00,103.0
180,2024-01-08 12:00:00+01:00,84.9
181,2024-01-08 13:00:00+01:00,89.56
182,2024-01-08 14:00:00+01:00,100.0
183,2024-01-08 15:00:00+01:00,107.98
184,2024-01-08 16:00:00+01:00,116.39
185,2024-01-08 17:00:00+01:00,129.15
186,2024-01-08 18:00:00+01:00,125.08
187,2024-01-08 19:00:00+01:00,111.9
188,2024-01-08 20:00:00+01:00,100.1
189,2024-01-08 21:00:00+01:00,91.0
190,2024-01-08 22:00:00+01:00,92.0
191,2024-01-08 23:00:00+01:00,91.49
192,2024-01-09 00:00:00+01:00,80.95
193,2024-01-09 01:00:00+01:00,79.98
194,2024-01-09 02:00:00+01:00,85.0
195,2024-01-09 03:00:00+01:00,83.42
196,2024-01-09 04:00:00+01:00,80.57
197,2024-01-09 05:00:00+01:00,85.8
198,2024-01-09 06:00:00+01:00,83.9
199,2024-01-09 07:00:00+01:00,91.12
200,2024-01-09 08:00:00+01:00,125.7
201,2024-01-09 09:00:00+01:00,119.96
202,2024-01-09 10:00:00+01:00,98.0
203,2024-01-09 11:00:00+01:00,90.0
204,2024-01-09 12:00:00+01:00,78.8
205,2024-01-09 13:00:00+01:00,77.78
206,2024-01-09 14:00:00+01:00,85.0
207,2024-01-09 15:00:00+01:00,99.9
208,2024-01-09 16:00:00+01:00,112.67
209,2024-01-09 17:00:00+01:00,135.69
210,2024-01-09 18:00:00+01:00,129.25
211,2024-01-09 19:00:00+01:00,126.3
212,2024-01-09 20:00:00+01:00,108.82
213,2024-01-09 21:00:00+01:00,93.66
214,2024-01-09 22:00:00+01:00,84.9
215,2024-01-09 23:00:00+01:00,88.0
216,2024-01-10 00:00:00+01:00,75.54
217,2024-01-10 01:00:00+01:00,86.76
218,2024-01-10 02:00:00+01:00,86.73
219,2024-01-10 03:00:00+01:00,81.22
220,2024-01-10 04:00:00+01:00,80.48
221,2024-01-10 05:00:00+01:00,77.9
222,2024-01-10 06:00:00+01:00,79.3
223,2024-01-10 07:00:00+01:00,96.0
224,2024-01-10 08:00:00+01:00,132.52
225,2024-01-10 09:00:00+01:00,130.39
226,2024-01-10 10:00:00+01:00,111.21
227,2024-01-10 11:00:00+01:00,109.13
228,2024-01-10 12:00:00+01:00,89.1
229,2024-01-10 13:00:00+01:00,87.45
230,2024-01-10 14:00:00+01:00,84.9
231,2024-01-10 15:00:00+01:00,106.34
232,2024-01-10 16:00:00+01:00,127.94
233,2024-01-10 17:00:00+01:00,143.79
234,2024-01-10 18:00:00+01:00,140.0
235,2024-01-10 19:00:00+01:00,132.15
236,2024-01-10 20:00:00+01:00,120.0
237,2024-01-10 21:00:00+01:00,97.3
238,2024-01-10 22:00:00+01:00,91.3
239,2024-01-10 23:00:00+01:00,82.31
240,2024-01-11 00:00:00+01:00,91.75
241,2024-01-11 01:00:00+01:00,88.59
242,2024-01-11 02:00:00+01:00,87.25
243,2024-01-11 03:00:00+01:00,82.38
244,2024-01-11 04:00:00+01:00,81.2
245,2024-01-11 05:00:00+01:00,79.6
246,2024-01-11 06:00:00+01:00,90.0
247,2024-01-11 07:00:00+01:00,116.87
248,2024-01-11 08:00:00+01:00,141.0
249,2024-01-11 09:00:00+01:00,129.16
250,2024-01-11 10:00:00+01:00,113.65
251,2024-01-11 11:00:00+01:00,106.48
252,2024-01-11 12:00:00+01:00,99.38
253,2024-01-11 13:00:00+01:00,99.0
254,2024-01-11 14:00:00+01:00,105.98
255,2024-01-11 15:00:00+01:00,117.31
256,2024-01-11 16:00:00+01:00,132.62
257,2024-01-11 17:00:00+01:00,147.06
258,2024-01-11 18:00:00+01:00,136.7
259,2024-01-11 19:00:00+01:00,132.31
260,2024-01-11 20:00:00+01:00,117.88
261,2024-01-11 21:00:00+01:00,107.19
262,2024-01-11 22:00:00+01:00,100.0
263,2024-01-11 23:00:00+01:00,81.0
264,2024-01-12 00:00:00+01:00,82.12
265,2024-01-12 01:00:00+01:00,80.63
266,2024-01-12 02:00:00+01:00,83.13
267,2024-01-12 03:00:00+01:00,77.29
268,2024-01-12 04:00:00+01:00,78.0
269,2024-01-12 05:00:00+01:00,79.18
270,2024-01-12 06:00:00+01:00,81.32
271,2024-01-12 07:00:00+01:00,118.2
272,2024-01-12 08:00:00+01:00,140.74
273,2024-01-12 09:00:00+01:00,134.96
274,2024-01-12 10:00:00+01:00,122.01
275,2024-01-12 11:00:00+01:00,114.73
276,2024-01-12 12:00:00+01:00,106.98
277,2024-01-12 13:00:00+01:00,103.08
278,2024-01-12 14:00:00+01:00,104.54
279,2024-01-12 15:00:00+01:00,110.0
280,2024-01-12 16:00:00+01:00,120.0
281,2024-01-12 17:00:00+01:00,127.5
282,2024-01-12 18:00:00+01:00,126.0
283,2024-01-12 19:00:00+01:00,119.47
284,2024-01-12 20:00:00+01:00,107.13
285,2024-01-12 21:00:00+01:00,91.7
286,2024-01-12 22:00:00+01:00,85.02
287,2024-01-12 23:00:00+01:00,82.49
288,2024-01-13 00:00:00+01:00,90.0
289,2024-01-13 01:00:00+01:00,85.43
290,2024-01-13 02:00:00+01:00,82.0
291,2024-01-13 03:00:00+01:00,78.47
292,2024-01-13 04:00:00+01:00,75.0
293,2024-01-13 05:00:00+01:00,74.94
294,2024-01-13 06:00:00+01:00,78.16
295,2024-01-13 07:00:00+01:00,77.9
296,2024-01-13 08:00:00+01:00,74.92
297,2024-01-13 09:00:00+01:00,85.4
298,2024-01-13 10:00:00+01:00,88.4
299,2024-01-13 11:00:00+01:00,86.1
300,2024-01-13 12:00:00+01:00,79.7
301,2024-01-13 13:00:00+01:00,80.82
302,2024-01-13 14:00:00+01:00,81.5
303,2024-01-13 15:00:00+01:00,87.0
304,2024-01-13 16:00:00+01:00,97.3
305,2024-01-13 17:00:00+01:00,114.6
306,2024-01-13 18:00:00+01:00,102.8
307,2024-01-13 19:00:00+01:00,84.6
308,2024-01-13 20:00:00+01:00,75.47
309,2024-01-13 21:00:00+01:00,81.0
310,2024-01-13 22:00:00+01:00,85.0
311,2024-01-13 23:00:00+01:00,80.0
312,2024-01-14 00:00:00+01:00,74.9
313,2024-01-14 01:00:00+01:00,74.01
314,2024-01-14 02:00:00+01:00,69.9
315,2024-01-14 03:00:00+01:00,68.24
316,2024-01-14 04:00:00+01:00,71.92
317,2024-01-14 05:00:00+01:00,80.0
318,2024-01-14 06:00:00+01:00,71.03
319,2024-01-14 07:00:00+01:00,75.92
320,2024-01-14 08:00:00+01:00,79.27
321,2024-01-14 09:00:00+01:00,93.0
322,2024-01-14 10:00:00+01:00,97.11
323,2024-01-14 11:00:00+01:00,87.2
324,2024-01-14 12:00:00+01:00,80.39
325,2024-01-14 13:00:00+01:00,77.04
326,2024-01-14 14:00:00+01:00,79.15
327,2024-01-14 15:00:00+01:00,82.32
328,2024-01-14 16:00:00+01:00,86.62
329,2024-01-14 17:00:00+01:00,91.86
330,2024-01-14 18:00:00+01:00,94.9
331,2024-01-14 19:00:00+01:00,85.0
332,2024-01-14 20:00:00+01:00,79.06
333,2024-01-14 21:00:00+01:00,78.6
334,2024-01-14 22:00:00+01:00,75.39
335,2024-01-14 23:00:00+01:00,67.19
336,2024-01-15 00:00:00+01:00,67.9
337,2024-01-15 01:00:00+01:00,65.0
338,2024-01-15 02:00:00+01:00,63.94
339,2024-01-15 03:00:00+01:00,62.04
340,2024-01-15 04:00:00+01:00,62.04
341,2024-01-15 05:00:00+01:00,69.25
342,2024-01-15 06:00:00+01:00,80.18
343,2024-01-15 07:00:00+01:00,84.4
344,2024-01-15 08:00:00+01:00,99.34
345,2024-01-15 09:00:00+01:00,100.3
346,2024-01-15 10:00:00+01:00,94.89
347,2024-01-15 11:00:00+01:00,90.2
348,2024-01-15 12:00:00+01:00,81.18
349,2024-01-15 13:00:00+01:00,82.2
350,2024-01-15 14:00:00+01:00,84.6
351,2024-01-15 15:00:00+01:00,89.57
352,2024-01-15 16:00:00+01:00,97.62
353,2024-01-15 17:00:00+01:00,106.51
354,2024-01-15 18:00:00+01:00,112.81
355,2024-01-15 19:00:00+01:00,105.13
356,2024-01-15 20:00:00+01:00,94.4
357,2024-01-15 21:00:00+01:00,79.04
358,2024-01-15 22:00:00+01:00,77.76
359,2024-01-15 23:00:00+01:00,78.5
360,2024-01-16 00:00:00+01:00,68.0
361,2024-01-16 01:00:00+01:00,76.51
362,2024-01-16 02:00:00+01:00,77.43
363,2024-01-16 03:00:00+01:00,76.82
364,2024-01-16 04:00:00+01:00,73.05
365,2024-01-16 05:00:00+01:00,72.61
366,2024-01-16 06:00:00+01:00,92.4
367,2024-01-16 07:00:00+01:00,115.8
368,2024-01-16 08:00:00+01:00,144.11
369,2024-01-16 09:00:00+01:00,138.6
370,2024-01-16 10:00:00+01:00,122.0
371,2024-01-16 11:00:00+01:00,110.0
372,2024-01-16 12:00:00+01:00,88.0
373,2024-01-16 13:00:00+01:00,88.1
374,2024-01-16 14:00:00+01:00,84.0
375,2024-01-16 15:00:00+01:00,110.29
376,2024-01-16 16:00:00+01:00,111.69
377,2024-01-16 17:00:00+01:00,128.3
378,2024-01-16 18:00:00+01:00,122.1
379,2024-01-16 19:00:00+01:00,102.0
380,2024-01-16 20:00:00+01:00,89.97
381,2024-01-16 21:00:00+01:00,84.0
382,2024-01-16 22:00:00+01:00,82.21
383,2024-01-16 23:00:00+01:00,75.2
384,2024-01-17 00:00:00+01:00,71.8
385,2024-01-17 01:00:00+01:00,71.65
386,2024-01-17 02:00:00+01:00,70.73
387,2024-01-17 03:00:00+01:00,69.79
388,2024-01-17 04:00:00+01:00,69.54
389,2024-01-17 05:00:00+01:00,71.31
390,2024-01-17 06:00:00+01:00,75.57
391,2024-01-17 07:00:00+01:00,84.94
392,2024-01-17 08:00:00+01:00,96.74
393,2024-01-17 09:00:00+01:00,106.18
394,2024-01-17 10:00:00+01:00,110.33
395,2024-01-17 11:00:00+01:00,111.1
396,2024-01-17 12:00:00+01:00,113.74
397,2024-01-17 13:00:00+01:00,116.73
398,2024-01-17 14:00:00+01:00,118.0
399,2024-01-17 15:00:00+01:00,122.62
400,2024-01-17 16:00:00+01:00,126.55
401,2024-01-17 17:00:00+01:00,136.91
402,2024-01-17 18:00:00+01:00,122.51
403,2024-01-17 19:00:00+01:00,113.1
404,2024-01-17 20:00:00+01:00,99.16
405,2024-01-17 21:00:00+01:00,93.73
406,2024-01-17 22:00:00+01:00,89.1
407,2024-01-17 23:00:00+01:00,83.21
408,2024-01-18 00:00:00+01:00,80.3
409,2024-01-18 01:00:00+01:00,76.99
410,2024-01-18 02:00:00+01:00,74.67
411,2024-01-18 03:00:00+01:00,74.18
412,2024-01-18 04:00:00+01:00,76.09
413,2024-01-18 05:00:00+01:00,77.6
414,2024-01-18 06:00:00+01:00,89.09
415,2024-01-18 07:00:00+01:00,109.23
416,2024-01-18 08:00:00+01:00,121.98
417,2024-01-18 09:00:00+01:00,118.26
418,2024-01-18 10:00:00+01:00,110.4
419,2024-01-18 11:00:00+01:00,80.0
420,2024-01-18 12:00:00+01:00,83.95
421,2024-01-18 13:00:00+01:00,70.64
422,2024-01-18 14:00:00+01:00,86.61
423,2024-01-18 15:00:00+01:00,85.8
424,2024-01-18 16:00:00+01:00,98.68
425,2024-01-18 17:00:00+01:00,103.75
426,2024-01-18 18:00:00+01:00,103.35
427,2024-01-18 19:00:00+01:00,87.85
428,2024-01-18 20:00:00+01:00,81.0
429,2024-01-18 21:00:00+01:00,83.14
430,2024-01-18 22:00:00+01:00,76.63
431,2024-01-18 23:00:00+01:00,73.61
432,2024-01-19 00:00:00+01:00,69.14
433,2024-01-19 01:00:00+01:00,66.26
434,2024-01-19 02:00:00+01:00,63.0
435,2024-01-19 03:00:00+01:00,62.76
436,2024-01-19 04:00:00+01:00,63.32
437,2024-01-19 05:00:00+01:00,66.9
438,2024-01-19 06:00:00+01:00,76.49
439,2024-01-19 07:00:00+01:00,86.0
440,2024-01-19 08:00:00+01:00,104.27
441,2024-01-19 09:00:00+01:00,99.91
442,2024-01-19 10:00:00+01:00,87.53
443,2024-01-19 11:00:00+01:00,84.0
444,2024-01-19 12:00:00+01:00,72.21
445,2024-01-19 13:00:00+01:00,73.36
446,2024-01-19 14:00:00+01:00,75.22
447,2024-01-19 15:00:00+01:00,73.04
448,2024-01-19 16:00:00+01:00,84.9
449,2024-01-19 17:00:00+01:00,93.75
450,2024-01-19 18:00:00+01:00,87.9
